央视频道,#genre#
音乐现场,http://182.129.200.63:8888/udp/239.93.10.162:9438
戏曲精选,http://182.129.200.63:8888/udp/239.93.11.80:7304
戏曲,http://182.129.200.63:8888/udp/239.93.10.243:9930
魅力时尚,http://182.129.200.63:8888/udp/239.93.10.164:9450
生活时尚,http://182.129.200.63:8888/udp/239.93.11.175:7706
电竞天堂,http://182.129.200.63:8888/udp/239.93.10.208:9720
游戏风云,http://182.129.200.63:8888/udp/239.93.10.207:9714
汽车频道,http://182.129.200.63:8888/udp/239.93.10.11:8060
足球,http://182.129.200.63:8888/udp/239.93.10.13:8072
高网,http://182.129.200.63:8888/udp/239.93.10.238:9900
台球,http://182.129.200.63:8888/udp/239.93.10.237:9894
纪实人文,http://182.129.200.63:8888/udp/239.93.10.119:8714
传奇,http://182.129.200.63:8888/udp/239.93.10.249:9966
导视,http://182.129.200.63:8888/udp/239.93.10.217:9774
收视指南,http://182.129.200.63:8888/udp/239.93.10.62:8366
爱怀旧,http://182.129.200.63:8888/udp/239.93.11.237:8718
爱喜剧,http://182.129.200.63:8888/udp/239.93.11.225:8500
爱奇谈,http://182.129.200.63:8888/udp/239.93.11.238:8722
爱科幻,http://182.129.200.63:8888/udp/239.93.11.226:8568
爱院线,http://182.129.200.63:8888/udp/239.93.11.227:8572
幸福剧场,http://182.129.200.63:8888/udp/239.93.11.245:8788
爱谍战,http://182.129.200.63:8888/udp/239.93.11.230:8596
爱经典,http://182.129.200.63:8888/udp/239.93.11.229:8592
爱悬疑,http://182.129.200.63:8888/udp/239.93.11.228:8576
爱青春,http://182.129.200.63:8888/udp/239.93.11.232:8678
爱都市,http://182.129.200.63:8888/udp/239.93.11.231:8674
少儿天地,http://182.129.200.63:8888/udp/239.93.11.249:8804
爱幼教,http://182.129.200.63:8888/udp/239.93.11.233:8682
爱玩具,http://182.129.200.63:8888/udp/239.93.11.234:8686
爱动漫,http://182.129.200.63:8888/udp/239.93.11.239:8736
求索频道,http://182.129.200.63:8888/udp/239.93.10.240:8740
爱电竞,http://182.129.200.63:8888/udp/239.93.11.235:8690
爱赛车,http://182.129.200.63:8888/udp/239.93.11.236:8700
爱宠宠物,http://182.129.200.63:8888/udp/239.93.11.247:8796
风尚生活,http://182.129.200.63:8888/udp/239.93.11.244:8784
幸福娱乐,http://182.129.200.63:8888/udp/239.93.11.246:8792
来钓鱼吧,http://182.129.200.63:8888/udp/239.93.11.224:8496
麻辣体育,http://182.129.200.63:8888/udp/239.93.10.210:9732

